NFCSID,CENSUSREG,CENSUSDIV,A3,A3Ar_w,A4A_new_w,A5_2015,A8,A7,J41_2,C1_2012,C4_2012,EA_1,A11,A9,J4,J20,J43,G30_1,G30_2,G30_3,G30_4,G30_5,G30_97,G30_98,G30_99,G25_1,G25_4,A6,A41,J1,J3,B2
2018010171,4,9,1,4,1,7,8,2,1,2,1,1,1,1,3,1,4,0,0,0,0,0,1,0,0,1,1,1,6,10,1,1
2018010172,3,5,2,3,1,6,6,2,4,1,1,1,2,2,98,2,3,0,0,0,0,0,0,1,0,5,5,1,5,8,3,1
2018010173,4,9,1,2,2,6,5,4,5,1,1,2,6,2,2,1,2,1,0,0,0,0,0,0,0,1,1,2,5,1,98,2
2018010174,1,2,2,5,1,7,4,1,1,1,2,1,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,2,6,8,1,2
2018010175,1,2,1,5,1,4,6,1,4,2,1,2,6,1,2,2,2,0,0,0,0,0,1,0,0,1,1,2,3,1,2,1
2018010176,4,8,1,6,1,6,4,2,2,1,2,1,6,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,5,8,3,1
2018010177,4,8,2,6,1,2,5,1,4,2,2,1,5,8,3,1,3,0,0,0,0,0,0,1,0,1,1,2,2,6,3,1
2018010178,2,4,1,5,1,6,4,3,3,2,2,2,6,3,2,4,2,0,0,0,0,0,0,1,0,1,1,2,5,5,3,1
2018010179,1,2,2,6,1,2,4,2,3,1,2,1,5,8,2,1,3,0,0,0,0,0,1,0,0,1,1,1,2,5,1,1
2018010180,3,5,2,5,1,2,5,2,1,1,1,1,5,4,3,1,3,0,0,0,0,0,1,0,0,1,1,1,1,8,1,1
2018010181,1,2,2,5,1,4,6,2,1,1,2,2,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,1,10,1,1
2018010182,1,2,2,3,1,4,7,2,2,1,1,1,2,2,3,1,4,0,0,0,0,0,1,0,0,1,1,1,4,7,1,1
2018010183,1,2,2,6,2,3,2,1,5,2,2,2,5,8,2,4,2,1,0,0,0,0,0,0,0,1,1,5,2,7,3,2
2018010184,1,2,2,2,1,4,2,1,4,98,98,2,6,3,2,4,3,0,0,0,0,0,1,0,0,1,1,2,3,7,3,2
2018010185,1,2,2,2,2,6,5,2,5,2,2,2,6,4,2,2,2,0,0,0,0,0,1,0,0,1,1,1,5,8,3,1
2018010186,4,8,2,6,1,2,2,1,4,2,2,1,6,7,2,2,3,0,0,0,0,0,1,0,0,1,1,4,2,4,1,1
2018010187,3,7,2,2,2,6,2,1,4,2,2,2,6,3,2,4,3,1,0,0,0,0,0,0,0,1,1,2,5,1,2,1
2018010188,4,8,1,3,1,6,5,2,3,1,2,1,3,2,3,1,3,1,1,0,0,0,0,0,0,1,1,1,2,6,3,1
2018010189,3,7,2,6,1,6,5,2,1,2,2,1,6,2,3,1,3,0,0,0,0,0,1,0,0,1,1,1,2,6,1,1
2018010190,3,7,2,6,1,6,6,2,2,1,1,1,5,8,3,1,4,0,0,0,0,0,1,0,0,1,1,1,2,10,3,1
2018010191,3,7,2,6,1,4,7,2,1,1,1,2,5,8,3,1,98,0,0,0,0,0,1,0,0,1,1,1,3,9,3,1
2018010192,3,5,1,6,1,4,4,2,3,1,2,1,5,8,3,1,3,0,0,0,0,0,1,0,0,1,3,1,2,5,3,1
2018010193,2,3,2,1,2,4,5,2,3,2,2,2,1,4,2,2,3,0,0,0,0,0,1,0,0,1,1,1,3,4,1,1
