,PUF_ID,agecat,PPEDUC,PPETHM,PPGENDER,PPINCIMP,PPHHSIZE,fpl,PPREG4,PPREG9,FWB1_1,FWB1_5,FS2_3,SUBKNOWL1,ACT1_2,PROPPLAN_3,PROPPLAN_1,MANAGE1_2,MANAGE1_1,MANAGE1_3,SAVEHABIT,AUTOMATED_1,AUTOMATED_2,SAVINGSRANGES,HOUSING,HOUSERANGES,MORTGAGE,PRODHAVE_8,PRODUSE_1,PRODUSE_2,FWBscore,FSscore
129,10761,7,5,1,2,3,1,3,4,8,4,4,2,5,4,4,5,5,5,5,5,0,1,7,1,1,1,0,0,0,64,54
130,9689,7,3,1,2,6,2,3,2,3,1,5,4,6,4,4,5,3,4,1,2,7,7,3,1,3,2,1,0,0,19,68
131,9440,2,4,2,2,2,3,2,3,5,5,1,2,7,4,5,4,5,5,4,6,1,1,6,1,2,2,0,0,0,68,66
132,8952,8,1,4,2,3,2,3,3,5,2,3,2,4,3,3,3,4,4,3,4,0,0,4,1,2,2,0,0,0,48,39
133,13656,2,4,1,2,6,2,3,1,1,3,2,3,5,4,2,4,4,5,5,5,1,0,6,2,4,-2,1,0,0,59,56
134,13367,1,2,1,2,7,4,3,2,4,3,3,3,4,3,3,3,3,3,3,5,0,0,4,3,2,-2,1,0,0,49,42
135,12935,4,3,1,1,6,2,3,2,4,3,3,4,3,3,3,4,5,5,4,2,1,1,3,1,3,2,0,0,0,44,33
136,7382,3,2,1,1,3,4,2,1,1,5,1,1,5,5,5,5,3,3,3,6,7,7,3,2,6,-2,0,0,0,77,85
137,12300,7,4,1,2,4,2,3,3,5,4,3,2,5,3,4,4,5,5,5,5,7,1,5,1,1,1,0,0,0,63,56
138,12753,4,5,1,1,8,2,3,1,2,3,4,2,6,3,3,3,4,5,3,3,0,1,5,1,7,3,1,0,0,52,58
139,11832,5,4,1,1,7,1,3,3,5,5,1,3,5,5,4,4,5,5,5,6,1,1,6,1,1,1,0,0,0,79,67
140,13051,8,5,1,1,8,2,3,3,7,4,2,3,5,4,3,4,4,5,5,5,1,7,5,1,1,1,0,0,0,59,53
141,8312,2,4,1,1,9,2,3,1,1,5,1,2,6,5,4,4,4,5,5,6,1,1,5,1,6,3,1,0,0,79,82
142,14093,6,4,1,2,6,1,3,4,9,2,2,3,5,4,4,4,3,5,5,6,1,1,5,1,5,2,0,0,0,54,50
143,8521,8,2,1,2,4,1,3,1,1,3,4,2,4,3,3,4,4,5,1,3,7,7,5,1,5,1,0,0,0,57,42
144,13953,1,2,4,1,1,2,2,3,7,1,1,3,3,4,4,1,1,1,1,1,7,0,3,3,99,-2,0,0,0,47,45
145,11926,7,5,1,1,7,2,3,4,9,5,1,2,7,5,5,5,5,5,5,6,7,7,7,1,7,99,0,0,0,84,76
146,9918,6,2,1,1,2,2,2,4,9,1,5,4,3,3,3,4,3,4,1,2,0,0,2,1,3,2,1,0,0,26,38
147,13330,8,1,1,2,2,1,3,2,3,4,1,5,2,4,5,4,5,5,5,3,0,0,4,1,99,99,0,0,0,78,46
148,9919,3,3,1,2,8,4,3,4,8,1,3,3,3,2,1,3,2,5,1,1,1,0,1,3,6,-2,0,1,0,39,16
149,8718,1,4,2,2,7,2,3,2,3,3,3,3,4,3,3,5,3,5,2,5,1,0,4,3,3,-2,1,0,0,48,45
150,8522,3,5,1,1,8,3,3,2,4,4,2,2,5,5,5,5,5,5,5,6,1,1,4,1,5,2,1,0,0,59,63
151,9441,7,3,1,1,3,2,3,3,5,3,4,3,6,3,4,4,4,5,3,5,7,7,4,1,2,1,0,0,0,49,49
152,9442,5,4,1,2,7,1,3,2,3,2,3,4,4,3,3,4,4,5,5,4,1,7,99,2,5,-2,0,0,0,55,43
153,7318,4,2,1,1,8,4,3,2,3,4,2,5,4,4,2,4,4,5,5,6,1,1,4,1,1,3,0,0,0,53,46
154,13908,8,2,1,2,3,2,3,3,5,2,3,4,3,4,3,3,5,5,5,4,0,0,99,1,-1,-1,0,0,0,52,41
155,7855,3,5,1,2,8,4,3,4,9,3,4,3,4,4,4,4,3,4,2,4,1,0,6,1,6,3,1,0,0,47,47
156,11085,8,2,1,2,6,2,3,3,7,4,2,2,4,4,3,4,4,5,5,4,0,0,6,1,1,1,0,0,0,62,44
