PUF_ID,PPREG4,PPREG9,PPGENDER,agecat,PPETHM,PPEDUC,PPINCIMP,PPHHSIZE,FWB1_5,AUTOMATED_1,HOUSING,KIDS_NoChildren,KIDS_1,KIDS_2,KIDS_3,KIDS_4,EMPLOY,ENDSMEET,FWB1_1,ACT1_2,PRODHAVE_8,PRODUSE_2,PPMARIT,HHEDUC,PAREDUC,HOUSESAT,SWB_1,MANAGE1_2,AUTOMATED_2
11051,3,6,2,2,1,1,4,3,4,0,1,1,0,0,0,0,2,3,4,3,0,0,5,1,1,4,7,3,0
11995,4,9,2,7,1,4,3,2,1,0,1,1,0,0,0,0,8,1,3,4,0,0,1,4,3,4,5,4,0
7963,3,5,1,5,4,2,6,4,3,0,1,0,0,0,0,2,2,2,4,3,0,0,1,3,2,4,7,3,0
11205,2,3,1,2,1,2,5,2,3,1,1,0,1,0,0,0,2,2,1,3,0,0,1,3,2,1,7,2,0
12150,1,2,1,6,1,4,7,1,2,0,1,-1,0,0,0,0,8,1,4,3,0,0,4,4,4,3,4,2,0
14067,3,5,2,1,4,3,5,3,4,7,3,1,0,0,0,0,5,2,2,4,0,0,4,3,1,3,4,5,7
8682,3,7,2,2,4,4,7,2,2,7,1,1,0,0,0,0,2,1,4,3,1,0,1,5,4,4,6,4,7
10875,4,9,2,4,1,3,8,2,2,1,1,0,0,0,0,1,1,1,2,5,0,0,1,5,2,3,7,4,0
8098,4,9,2,5,3,5,9,3,1,1,1,0,0,0,1,1,3,1,4,3,0,0,1,5,5,4,6,4,1
11052,2,3,1,3,2,3,1,1,2,0,2,0,0,0,1,0,7,1,3,3,1,0,4,5,2,4,6,3,0
10876,4,9,1,2,1,3,3,3,3,1,3,1,0,0,0,0,2,1,3,3,0,0,4,3,5,3,5,4,0
9652,4,9,1,4,1,5,8,1,2,1,2,1,0,0,0,0,2,1,4,3,0,0,4,5,5,3,6,4,1
9142,2,4,2,7,1,2,6,2,2,1,1,1,0,0,0,0,1,1,4,4,0,0,1,4,2,4,7,4,1
9391,1,2,2,7,2,5,8,2,4,0,1,1,0,0,0,0,8,1,3,3,0,0,4,5,5,3,6,3,0
9653,4,9,1,2,1,3,8,1,1,0,1,1,0,0,0,0,1,1,5,4,0,0,5,4,3,4,5,5,0
14026,2,3,1,2,1,2,2,2,4,-1,2,1,0,0,0,0,7,1,4,5,0,0,4,2,2,4,1,5,7
13743,3,7,1,8,1,5,7,2,1,7,1,-1,0,0,0,0,8,1,4,4,0,0,1,5,3,4,6,5,7
